Property_ID,Prop_Type,Tax_Key,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Sale_Price_Target,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
222446,Commercial,4940285100,8,6283,Tavern,4,0,0,10349,2022-03-23,161000.0,1.0,Other,2.0,1900.0,0.0,3234.0,3.0,
223436,Commercial,4960832000,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",3,0,0,3142,2022-10-27,169900.0,1.0,Brick,2.0,1905.0,0.0,3320.0,3.0,
223764,Commercial,4961411000,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",4,0,0,4050,2022-01-24,152000.0,1.0,Alum/Vynyl Siding,2.0,1900.0,0.0,2574.0,3.0,
225111,Commercial,4971288000,12,6281,"Store Building - Single tenant, 1 story",1,0,0,2400,2022-08-15,75000.0,0.0,Concrete Block,1.0,1927.0,0.0,2000.0,3.0,
229582,Commercial,5051148100,14,6282,Strip Shopping Center,3,0,0,18518,2022-04-26,500000.0,5.0,Concrete Block,1.0,1984.0,0.0,5298.0,3.0,
230254,Commercial,5071020000,14,6284,Single Tenant Multi Story Retail,1,0,0,7320,2022-05-13,540000.0,5.0,Brick,2.0,1915.0,0.0,13752.0,3.0,
232961,Commercial,5139959100,11,6418,Svs Station w Conv Store,1,0,0,13440,2022-04-15,850000.0,8.0,Concrete Block,1.0,1967.0,0.0,2385.0,3.0,
237455,Commercial,5319903100,11,6288,"Store Building - Multiple Tenants, 1 story",2,0,0,5770,2022-01-21,300000.0,3.0,Brick,1.0,1959.0,0.0,2543.0,3.0,
238827,Commercial,5340650000,13,6286,Sit Down Restaurant,1,0,0,9600,2022-10-01,370000.0,3.0,Brick,1.0,1947.0,0.0,1804.0,3.0,
239195,Commercial,5350525112,14,6417,"Bank, Savings & Loan",3,0,0,41300,2022-01-28,840000.0,8.0,Brick,1.0,1974.0,0.0,10530.0,3.0,
241616,Commercial,5390005000,14,6418,Svs Station w Conv Store,1,0,0,11600,2022-01-27,640000.0,6.0,Metal Siding,1.0,1959.0,0.0,1618.0,3.0,
247078,Commercial,5530772000,13,6440,Fast Food Operation,1,0,0,31442,2022-02-11,3375000.0,10.0,Precast Masonary,1.0,2020.0,0.0,4387.0,3.0,
253209,Commercial,5819982000,14,6282,"Store Building - Single tenant, 1 story",1,0,0,3302,2022-06-22,285000.0,2.0,Brick,1.0,1931.0,0.0,850.0,3.0,
255723,Commercial,6231062100,13,6286,Day Care Center,1,0,0,30180,2022-05-23,710000.0,7.0,Concrete Block,1.0,1975.0,0.0,6659.0,3.0,
259387,Commercial,6719979100,13,6290,Pole Building,3,0,0,37260,2022-10-07,373700.0,3.0,Metal Siding,1.0,2010.0,0.0,4772.0,3.0,
260131,Commercial,6909847000,13,6286,Residence With Commercial Usage,3,0,0,16687,2022-12-08,170000.0,1.0,Brick,1.5,1931.0,0.0,1500.0,3.0,
98561,Residential,50042000,9,40,Ranch,1,1,0,8303,2022-05-23,233100.0,2.0,Aluminum/Vinyl,1.0,1980.0,10.0,1006.0,6.0,
98593,Residential,50074000,9,40,Ranch,1,1,0,7200,2022-07-25,215000.0,2.0,Aluminum/Vinyl,1.0,1982.0,5.0,1007.0,3.0,
98604,Residential,50085000,9,40,Ranch,1,2,0,7200,2022-03-29,150000.0,1.0,Aluminum/Vinyl,1.0,1984.0,5.0,1301.0,3.0,
99176,Residential,330083000,9,40,Townhouse,2,2,2,8640,2022-01-21,180000.0,1.0,Aluminum/Vinyl,2.0,1979.0,10.0,2222.0,6.0,
99983,Residential,341207000,9,40,Duplex N/S,2,2,0,7200,2022-08-26,114500.0,1.0,Aluminum/Vinyl,1.5,1978.0,10.0,2107.0,5.0,
99991,Residential,341215000,9,40,Ranch,1,2,0,7492,2022-12-08,200000.0,2.0,Aluminum/Vinyl,1.0,2005.0,6.0,1352.0,3.0,
100024,Residential,341258000,9,40,Ranch,1,1,0,7449,2022-05-13,173000.0,1.0,Aluminum/Vinyl,1.0,1950.0,8.0,923.0,6.0,
100024,Residential,341258000,9,40,Ranch,1,1,0,7449,2022-10-05,175000.0,1.0,Aluminum/Vinyl,1.0,1950.0,8.0,923.0,6.0,
100327,Residential,400015000,9,240,Townhouse,2,2,2,6652,2022-11-04,155000.0,1.0,Aluminum/Vinyl,2.0,1971.0,10.0,2441.0,6.0,
100407,Residential,400235000,9,240,Colonial,1,3,1,8899,2022-09-08,370000.0,3.0,Aluminum/Vinyl,2.0,2005.0,8.0,2324.0,4.0,
101678,Residential,720419000,9,240,Ranch,1,1,1,7200,2022-06-30,240000.0,2.0,Aluminum/Vinyl,1.0,1982.0,5.0,1077.0,3.0,
101723,Residential,720464000,9,240,Colonial,1,1,1,7200,2022-09-18,180000.0,1.0,Asphalt/Other,2.0,1980.0,6.0,1443.0,3.0,
101736,Residential,720477000,9,240,Split Level,1,2,0,7200,2022-05-10,300000.0,3.0,Aluminum/Vinyl,1.0,1992.0,12.0,1547.0,6.0,
101748,Residential,720489000,9,240,Split Level,1,2,0,9625,2022-11-29,260000.0,2.0,Aluminum/Vinyl,1.0,1995.0,7.0,1816.0,4.0,
101762,Residential,720503000,9,240,Colonial,1,1,1,9583,2022-03-11,235000.0,2.0,Aluminum/Vinyl,2.0,1995.0,12.0,1494.0,6.0,
101818,Residential,720559000,9,240,Ranch,1,1,1,7908,2022-05-10,222500.0,2.0,Aluminum/Vinyl,1.0,1996.0,10.0,1142.0,6.0,
101821,Residential,720562000,9,240,Split Level,1,2,0,7339,2022-01-31,250000.0,2.0,Aluminum/Vinyl,1.0,1990.0,7.0,1751.0,4.0,
101826,Residential,720567000,9,240,Ranch,1,1,1,7308,2022-03-31,210000.0,2.0,Aluminum/Vinyl,1.0,1981.0,10.0,1077.0,6.0,
101834,Residential,720575000,9,240,Ranch,1,1,1,7209,2022-02-18,225000.0,2.0,Aluminum/Vinyl,1.0,1981.0,10.0,1077.0,6.0,
101855,Residential,720596000,9,240,Colonial,1,1,1,10088,2022-05-27,265000.0,2.0,Aluminum/Vinyl,2.0,1997.0,14.0,1494.0,6.0,
101863,Residential,720604000,9,240,Colonial,1,1,1,7200,2022-01-12,255000.0,2.0,Aluminum/Vinyl,2.0,1999.0,14.0,1503.0,6.0,
102089,Residential,730020000,9,240,Split Level,1,2,0,9955,2022-03-28,276500.0,2.0,Aluminum/Vinyl,1.0,1969.0,16.0,2031.0,8.0,
102100,Residential,730031000,9,240,Ranch,1,2,1,9000,2022-11-16,155000.0,1.0,Aluminum/Vinyl,1.0,1971.0,7.0,1689.0,5.0,
